Primary Number,OTIS ID,Property Number,Name,Aliases and Alias Types,St Number,St Name,City,County,Zip,Vicinity,Other Geography,Evaluation Info,District Elements,Parent District,Assoc Resources,Parcel Num,MilePost,Ownership,Construction Year(s),oCode,Date Modified,Export Date
,653828,,CALIFORNIA AQUEDUCT,,,,,Multi-County,,,,"2S2, 06/28/2012, FHWA120615A | 2S2, 06/28/2012, FHWA120615A | 2S2, 10/24/2016, WAPA_2014_1104_001 | 2S2, 10/24/2016, WAPA_2014_1104_001",,"653,898,666,839,710,000,000,000,000,000,000,000,000,000,000,000",,,,,1960-1974,o33117g2 | o33117h2 | o33117h3 | o34117a3 | o34117b3 | o34117c3 | o34117d3 | o34117d4 | o34117d5 | o34117d6 | o34117d7 | o34117d8 | o34117e8 | o34118d5 | o34118e1 | o34118e2 | o34118e5 | o34118e6 | o34118f2 | o34118f3 | o34118f4 | o34118f6 | o34118f7 | o34118g4 | o34118g5 | o34118g6 | o34118g6 | o34118g7 | o34118h7 | o34118h8 | o35118a8 | o35119a1 | o35119a3 | o35119a4 | o35119b1 | o35119b4 | o35119c3 | o35119c4 | o35119c5 | o35119d5 | o35119d6 | o35119e6 | o35119f6 | o35119f7 | o35119f8 | o35119g7 | o35119g8 | o35119g8 | o35119h8 | o35120a4 | o35120a5 | o35120b5 | o35120c5 | o35120c6 | o35120d4 | o35120d5 | o35120e3 | o35120e4 | o35120f1 | o35120f2 | o35120f3 | o36119a8 | o36120a1 | o36120b1 | o36120c1 | o36120c2 | o36120c3 | o36120d3 | o36120e3 | o36120e4 | o36120e5 | o36120f5 | o36120f6 | o36120g6 | o36120g7 | o36120h7 | o36120h8 | o37120a8 | o37121a1 | o37121b1 | o37121c1 | o37121d1 | o37121d2 | o37121e2 | o37121e3 | o37121f3 | o37121f4 | o37121f5 | o37121g5,6/29/2022,9/23/2022
,669454,,BUTTONWOOD (WLB-306),,,,,Alameda,,,,"2S2, 12/29/1998, USCG981113B",,,,,,,,,4/5/2018,9/23/2022
,672928,,SOUTH BAY PUMPING PLANT,CHRISTENSEN ROAD BRIDGE AT CALIFORNIA AQUEDUCT MILEPOS 4.47^Other Name,,,,Alameda,,,,"2S2, 08/04/2017, COE_2017_0710_001",,,,,,,,o37121g5,4/5/2018,9/23/2022
,676556,,Palomares Road Bridge and Culvert MP 8.60,,,,,Alameda,,,,"6Y, 09/09/2013, NRCS_2013_0830_001",,,,,,,1938-1973,o37121e8,5/16/2018,9/23/2022
,696937,,Line J-1 canal,,,,,Alameda,,,,"6Y, 07/01/2020, COE_2020_0617_001",,,,,,,,o37121f8,3/4/2021,9/23/2022
,715314,,"South Bay Aqueduct: Livermore Canal, Dyer Canal",,,,,Alameda,,,,"2S2, 04/15/2022, COE_2022_0316_002",,,,99B-5600-7 | 99B-6062-6 | 99B-6062-5-1,,,1958-1969,o37121f6 | o37121g6,9/6/2022,9/23/2022
,673032,,STREETCAR SUBURB DISTRICT,,,,,Alameda,,,,"2S2, 04/11/2005, HUD031003A",,,,,,,,,4/5/2018,9/23/2022
,683480,,Southern Pacific Railroad FMC Railroad Spur,ALA-000623^Trinomial | Dumbarton Cutoff Spur^Other Name,,,,Alameda,,,,"6Y, 09/12/2018, COE_2018_0604_002 | 6Y, 09/12/2018, COE_2018_0604_002",,,"649421,Related Resource",,,,1929,,5/15/2019,9/23/2022
,683712,,"Alameda Creek Diversion Dam and Tunnel, CD #17",,,,,Alameda,,,,"6Y, 02/24/2010, COE091209A",,,,,,,1931,,6/5/2019,9/23/2022
,686421,,PG&E Stanislaus-Newark Transmission Line,,,,,Alameda,,,,"6Y, 01/13/2014, FHWA_2013_1209_002",,,,,,,1908-1910,,10/3/2019,9/23/2022
,688878,,NAS Alameda Building 91,32505^NPS DOE,,,,Alameda,,,,"2S3, 10/17/2017, 537.9-01-0158",,,,,,,,,2/4/2020,9/23/2022
,695679,,"Western Pacific/Central P RR Culvert, Niles Canyon",,,,,Alameda,,,,"2D, 01/11/2008, FHWA041116A",,,,,,,1865,,12/30/2020,9/23/2022
,711940,,1917-1921 WPRR San Jose Branch line Fremont<,,,,,Alameda,,,,,,,,,,,,,7/8/2022,9/23/2022
,676555,,Palomares Road Culvert MP 8.75,,,,,Alameda,,,,"6Y, 09/09/2013, NRCS_2013_0830_001",,,,,,,1937,o37121e8,5/16/2018,9/23/2022
,715320,,Patterson Dam & Reservoir,,,,,Alameda,,,,"2D2, 04/15/2022, COE_2022_0316_002 | 2D2, 04/15/2022, COE_2022_0316_002",,,,,,,1958-1969,o37121f6 | o37121g6,9/6/2022,9/23/2022
,715322,,Dyer Canal,,,,,Alameda,,,,"6Y, 04/15/2022, COE_2022_0316_002",,,,,,,2009-2012,,9/6/2022,9/23/2022
,684823,,Alamo Canal,,,,,Alameda,,,,"6Y, 03/19/2019, COE_2018_1221_001 | 6Y, 03/19/2019, COE_2018_1221_001",,,,,,,,,7/18/2019,9/23/2022
,684825,,Tassajara Creek Canal,,,,,Alameda,,,,"6Y, 03/19/2019, COE_2018_1221_001 | 6Y, 03/19/2019, COE_2018_1221_001",,,,,,,,,7/18/2019,9/23/2022
,685258,,I-238 Bridge over Ashland Ave. 33-0221,33-0221^Agency Nbr,,,,Alameda,,,,"6Y, 01/14/2003, FHWA020425A",,,,,,,1956,,8/1/2019,9/23/2022
,689588,,Eden Salt Works Historic Landscape,,,,,Alameda,,,,"2S2, 10/12/2010, FWS040721A",,,,,,,,,2/27/2020,9/23/2022
01-001776,684827,,Arroyo Mocho Canal,,,,,Alameda,,,,"6Y, 03/19/2019, COE_2018_1221_001 | 6Y, 03/19/2019, COE_2018_1221_001",,,,,,,,,7/18/2019,9/23/2022
01-010674,683709,,,,,,,Alameda,,,,"6Y, 02/24/2010, COE091209A",,,,,,,,,6/5/2019,9/23/2022
01-011506,668491,,CONGLOMERATE OF COBBLES,,,,,Alameda,,,,"6Y, 12/22/2015, COE_2015_1124_001",,,,,,,,,4/5/2018,9/23/2022
01-011775,684829,,South San Ramon Creek (Line K),,,,,Alameda,,,,"6Y, 03/19/2019, COE_2018_1221_001 | 6Y, 03/19/2019, COE_2018_1221_001 | 6Y, 03/19/2019, COE_2018_1221_001 | 6Y, 03/19/2019, COE_2018_1221_001",,,,,,,,,7/18/2019,9/23/2022
39-000089,538859,158932,CVP 117 mile DELTA-MENDOTA CANAL,CENTRAL VALLEY PROJECT DELTA-MENDOTA CANAL^Other Name,,,,Multi-County,,X,,"2S2, 03/16/2005, BUR050125A | 7W, 03/24/2016, 01-0085 2009 FED nom shelved by BUR after NPS submission",,,"531727,Thematic",003 103 15,,,1946,o37121f4,11/23/2021,9/23/2022
01-010613,692189,,"Grant Line Road, Lincoln Highway Segment",,,Grant Line Rd,,Alameda,,,,"6Y, 10/24/2016, WAPA_2014_1104_001",,,,,,,,,6/17/2020,9/23/2022
,683478,,Stone Cut Railroad Underpass #33 0123L,33 0123L^Agency Nbr,,I 580,,Alameda,94574,,,"6Y, 10/16/2018, FHWA_2018_0914_002",,,,,,,1938,,5/15/2019,9/23/2022
,680468,,Naval Air Station Alameda Hist Dist Landscape~,,,,Alameda,Alameda,,,,"2S2, 03/19/2012, USN120221A",,,,,,,1938-1945,o37122g3,9/29/2020,9/23/2022
,545385,152602,"SAN LEANDRO BAY BRIDGE, BAY FARM ISLAND BRIDGE",,,,ALAMEDA,ALAMEDA,,X,,"6Y, 06/09/2004, DOE-01-04-0144-0000 | 6Y, 06/09/2004, FHWA040504A",,,,"#16, BLOCK 66",,S,1951,,4/5/2018,9/23/2022
,517865,180483,NAS ALAMEDA BLDG 618,800 STORAGE(PAINT^Other Name | FLAMMABLE)^Other Name,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1982,o37122g3,4/5/2018,9/23/2022
,517867,180485,NAS ALAMEDA BLDG 619,800 (PAINT^Other Name | FLAMMABLE)^Other Name,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1982,o37122g3,4/5/2018,9/23/2022
,517868,180486,ALAMEDA NAS AIR TURBINE OVERHAUL BLDG 398,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1957,o37122g3,4/5/2018,9/23/2022
,517869,180487,ALAMEDA NAS AIR VACUUM PUMPING STATION BLDG 470,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1957,o37122g3,4/5/2018,9/23/2022
,518050,180490,NAS ALAMEDA AVIONICS BLDG BLDG 400,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1941,o37120c4 | o37122g3,4/5/2018,9/23/2022
,517877,180499,AIRFIELD BLDG 100,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1942,o37122g3,4/5/2018,9/23/2022
,517878,180500,AIRFIELD BLDG 259,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1983,o37122g3 | o38121d7,4/5/2018,9/23/2022
,517879,180501,AIRFIELD BLDG 377,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1954,,4/5/2018,9/23/2022
,517880,180502,AIRFIELD BLDG 407,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1957,,4/5/2018,9/23/2022
,517881,180503,AIRFIELD BLDG 480,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1942,o37122g3,4/5/2018,9/23/2022
,517882,180504,AIRFIELD BLDG 488,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1944,o37122g3,4/5/2018,9/23/2022
,517883,180505,AIRFIELD BLDG 489,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1944,o37122g3,4/5/2018,9/23/2022
,517885,180507,AIRFIELD BLDG 499,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1964,o37122g3,4/5/2018,9/23/2022
,517886,180508,AIRFIELD BLDG 513,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1964,o37122g3,4/5/2018,9/23/2022
,517887,180509,AIRFIELD BLDG 514,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1964,o37122g3,4/5/2018,9/23/2022
,517617,180510,AIRFIELD BLDG 200642,,,,ALAMEDA,ALAMEDA,,,,"6Y, 01/10/2011, USN090630A",,,,,,F,1952,o37122g3,4/5/2018,9/23/2022
