Primary Number,OTIS ID,Property Number,Name,Aliases and Alias Types,St Number,St Name,City,County,Zip,Vicinity,Other Geography,Evaluation Info,District Elements,Parent District,Assoc Resources,Parcel Num,MilePost,Ownership,Construction Year(s),oCode,Date Modified,Export Date
,684249,,Leviathan Lookout,,,,,Alpine,,,,"6Y, 05/15/2018, USFS_2018_0417_001",,,,,,,1959,,7/2/2019,9/23/2022
,692140,,PA-07-G54,,,,,Alpine,,,,"6Y, 07/24/2014, EPA_2013_0821_001",,,,,,,,,6/16/2020,9/23/2022
02-000570,568694,129121,"WOLFE, MONTE, CABIN",,,,BEAR VALLEY,Mariposa,,,,"7W, 12/11/2001, 02-0003",,,,,,,1931,o37120e1,4/5/2018,9/23/2022
,689996,,Bear Valley School,,550,Creekside DR,Bear Valley,Alpine,95223,,,"6Y, 01/22/2020, FEMA_2019_1223_001",,,,005-470-026-000,,,1974,o38120d1,7/27/2020,9/23/2022
,675592,,Bear Chair Lift,,2280,SR 207,Bear Valley,Alpine,95223,,,"6Y, 07/11/2017, USFS_2017_0616_002",,,,,,,1967,,8/11/2020,9/23/2022
,694660,,"Blue Lakes Cabin, FS# 5-03-51-386",5-03-51-386^USFS Number,,,ELD NF,Alpine,,,,"6Y, 05/29/2013, USFS_2013_0403_001",,,,,,,1908-1933,o38119e8,11/3/2020,9/23/2022
,524858,173458,CAPLES LAKE RESORT,,1111,SR 88,ELD NF,ALPINE,95646,,,"6Y, 07/31/2008, USFS080718A",,,,,,P,1942,o38120f1 | o38121f4,4/5/2018,9/23/2022
05-165204,715466,,van Loben Sels Range Cabin and Cabin/Horse Stalls,,,Tryon Meadow,Highland Lakes,Alpine,,,,"2D2, 09/02/2022, USFS_2022_0804_001",,,,,,,1940,o38119e7,9/16/2022,9/23/2022
,692609,,FS# 04170114407 Arborglyphs,04170114407^USFS Number,,,HTNF,Alpine,,,,"6Y, 07/09/2020, USFS_2015_0720_001",,,,,,,,,7/8/2020,9/23/2022
02-000480,489770,93119,SODA SPRING GUARD STATION COMPOUND,,,,HTNF,Alpine,,,,"2S2, 12/07/1994, DOE-02-94-0001-0000 | 2S2, 12/07/1994, USFS940906F",,,,,,,1940,,4/5/2018,9/23/2022
02-000481,490232,93369,CONNELL CABIN,,,,HTNF,Alpine,,,,"2S2, 12/07/1994, USFS940906G",,,,,,,1944,o37121c7,4/5/2018,9/23/2022
02-000482,497062,102565,DANBERG CABIN,,,,HTNF,Alpine,,,,"6Y, 07/16/1996, USFS960607A",,,,,,,1929-1930,o37120h2,4/5/2018,9/23/2022
,684233,,Caples Lake Maintenance Station|MR#2,Caples Lake Maintenance Station^Official Historic Name | MR#2^Other Name,20,Schneider Cow Camp Rd,Kirkwood,Alpine,95646,,,"6Y, 03/19/2019, CATRA_2019_0219_001 | 6YM, 03/19/2019, CATRA_2019_0219_001",,,,,,,1975,o38120f1,3/25/2021,9/23/2022
02-000072,485343,87361,MEISS CABIN AND BARN COMPLEX,,,,LTBMU,ALPINE,,,,"2S2, 12/28/1993, DOE-02-93-0001-0000 | 2S2, 12/28/1993, USFS930909A",,,,,,U,1878,,4/5/2018,9/23/2022
,554231,143864,CAMP LIAHONA LODGE,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0006-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1953,o38119d7,4/5/2018,9/23/2022
,554232,143865,LIAHONA CAMP DINING AREA,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0007-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1957,o38119d7,4/5/2018,9/23/2022
,554233,143866,LIAHONA CAMP KITCHEN,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0008-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1958,o38119d7,4/5/2018,9/23/2022
,554234,143867,LIAHONA CAMP SUPPLY SHED,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0009-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1955,o38119d7,4/5/2018,9/23/2022
,554235,143868,LIAHONA CAMP CAPER SHACK,SUPPLY SHED^Other Name,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0010-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1955,o38119d7,4/5/2018,9/23/2022
,554236,143869,LIAHONA CAMP DIRECTORS CABIN,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0011-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1955,o38119d7,4/5/2018,9/23/2022
,554237,143870,LIAHONA CAMP FIRST AID CABIN,RESIDENCE^Other Name,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0012-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1972,o38119d7,4/5/2018,9/23/2022
,554238,143871,LIAHONA CAMP WOMANS RESTROOM,,,,MARKLEEVILLE,ALPINE,,X,,"6Y, 09/07/2003, DOE-02-03-0013-0000 | 6Y, 09/07/2003, USFS030925B",,,,002-242-30,,P,1951,o38119d7,4/5/2018,9/23/2022
